status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
5281959998_10151449419684999,"T-R-U-M-P letters have been peeled off 3 rental buildings in NYC, as well as hotels in SoHo and Toronto.",â€˜Trump Placeâ€™ Asks if It Can Be Called by Any Other Name,link,https://www.nytimes.com/2018/01/10/nyregion/trump-place-manhattan-lawsuit.html?smid=fb-nytimes&smtyp=cur,1/10/18 20:25,3585,179,237,2163,204,39,1167,2,8,2
5281959998_10151449386714999,"From the The New York Times Opinion Section: ""Being sick has been a long, slow detox from capitalist culture and its mandate that we never rest. Slowly, I found a deeper value in relationship beyond reciprocity: an unconditional love and care based in justice, and a belief that all humans deserve relationship, regardless of whether we can offer anything measurable back.""","Opinion | In My Chronic Illness, I Found a Deeper Meaning",link,https://www.nytimes.com/2018/01/10/opinion/in-my-chronic-illness-i-found-a-deeper-meaning.html?smid=fb-nytimes&smtyp=cur,1/10/18 19:55,1111,55,305,879,193,15,2,16,2,4
5281959998_10151449137094999,"""Iâ€™ve been doing it for two decades, but there were a lot more microphones this time around than thereâ€™s ever been.""â€”Gabrielle Union, on discussing sexual harassment and assault",Gabrielle Union Isnâ€™t Done Talking About Sexual Assault,link,https://www.nytimes.com/2018/01/10/magazine/gabrielle-union-isnt-done-talking-about-sexual-assault.html?smid=fb-nytimes&smtyp=cur,1/10/18 19:25,481,19,22,415,53,5,2,1,0,5
5281959998_10151448839054999,"From The New York Times Opinion Section: ""Itâ€™s worth remembering that English has a long history of adapting to cultural change. Thatâ€™s something we should celebrate, not lament.""",Opinion | Thatâ€™s What Ze Said,link,https://www.nytimes.com/2018/01/09/opinion/ze-xem-gender-pronouns.html?smid=fb-nytimes&smtyp=cur,1/10/18 18:55,397,46,70,327,50,5,7,2,3,3
5281959998_10151449321304999,"How do Latinos navigate the way they are represented in media, the silencing of their history and the mental health issues in their communities? John Leguizamo riffs on these topics in his show ""Latin History for Morons"" on Broadway. Here to discuss those issues are Shea Serrano, a writer for The Ringer and author of The New York Times best seller ""Basketball (And Other Things),"" and Monica Castillo, a film writer for The New York Times. Leave your questions for them in the comments, and The Times reporter John Eligon will ask some.Subscribe to the Race/Related newsletter: nytimes.com/racerelated.",RaceNYT: Latinos and Pop Culture,video,https://www.facebook.com/nytimes/videos/10151449321304999/,1/10/18 18:01,404,115,65,334,55,7,2,2,2,2
5281959998_10151449231424999,"Immigration agents descended on 7-Eleven stores across the U.S., arresting 21. The Trump administration said it was its largest employer sweep.",Immigration Agents Target 7-Eleven Stores in Push to Punish Employers,link,https://www.nytimes.com/2018/01/10/us/7-eleven-raids-ice.html?smid=fb-nytimes&smtyp=cur,1/10/18 16:40,2648,585,436,543,30,126,20,325,1595,9
5281959998_10151448928009999,"Tonya Harding still skates sometimes, but not as much as she used to. At 47, she still holds so much power in her thighs and so much grace in her hands and posture.Our reporter spent time at a skating rink with Harding, discussing ""I, TONYA,"" the Nancy Kerrigan scandal and Harding's struggles to tell her side of the story. Here's the story: http://nyti.ms/2DgAG24Photo: Kyle Johnson for The New York Times",,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10151448919749999/?type=3,1/10/18 15:40,1904,460,101,1528,110,23,11,7,222,3
5281959998_10151449191249999,"Brian Pinkney is an award-winning illustrator of picture books including ""On the Ball"" and ""The Faithful Friend."" He is here to draw, paint and talk about his latest books, ""In Your Hands"" and ""Martin Rising: Requiem for a King,"" written by his wife, Andrea Davis Pinkney. Leave your questions for him in the comments, and Maria Russo of The New York Times Books will ask some.",The New York Times Books,video,https://www.facebook.com/nytbooks/videos/1759405697423263/,1/10/18 15:36,445,22,45,377,57,8,2,1,0,0
5281959998_10151448827469999,"â€œI want everyone to know that he did not do this to Athlete A, he did it to Maggie Nichols.â€ù",Gymnast Maggie Nichols Wants â€˜Everyone to Knowâ€™ About Larry Nassarâ€™s Abuse,link,https://www.nytimes.com/2018/01/09/sports/maggie-nichols-abuse-larry-nassar.html?smid=fb-nytimes&smtyp=cur,1/10/18 14:10,1608,26,55,1152,100,20,1,287,43,5
5281959998_10151448895284999,"""It's inhuman to hold a migrant in a prison as if he was a criminal,"" said one activist.","Short on Space for Migrants, Spain Sent Them to a Townâ€™s New Prison",link,https://www.nytimes.com/2018/01/10/world/europe/spain-migrants-prison.html?smid=fb-nytimes&smtyp=cur,1/10/18 13:25,207,31,24,118,13,7,4,42,23,0
